# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
158 0.925 0.375 5.569e-06 8.47763e-06 -2.68754e-05 1.87207e+06 2.34192e+06 -2.17071e+06 4.32908e+06
159 0.975 0.375 2.87963e-06 -1.56769e-07 -2.09813e-06 653677 163182 -169464 658338
160 0.025 0.425 2.64438e-05 -2.19263e-06 -9.74658e-06 5.95063e+06 1.32474e+06 -787224 5.58042e+06
161 0.075 0.425 2.8542e-05 -5.85236e-06 -6.52179e-06 6.18145e+06 625439 -526760 5.96388e+06
162 0.125 0.425 2.8602e-05 -7.65484e-06 -2.28158e-06 6.07051e+06 213636 -184281 5.97509e+06
163 0.175 0.425 2.84132e-05 -8.14932e-06 -3.04546e-07 5.99271e+06 86455.1 -24597.9 5.9501e+06
164 0.225 0.425 2.833e-05 -8.38371e-06 5.2907e-07 5.95728e+06 26605 42732.6 5.94448e+06
165 0.275 0.425 2.83317e-05 -8.50754e-06 7.60016e-07 5.94911e+06 -1849.96 61385.9 5.95098e+06
166 0.325 0.425 2.83643e-05 -8.59303e-06 6.53254e-07 5.95072e+06 -19321.1 52762.8 5.9611e+06
167 0.375 0.425 2.83813e-05 -8.66513e-06 3.04362e-07 5.94963e+06 -34787.5 24583.1 5.96726e+06
168 0.425 0.425 2.83429e-05 -8.74002e-06 -2.95397e-07 5.9356e+06 -54724.5 -23859 5.96329e+06
169 0.475 0.425 2.82074e-05 -8.82817e-06 -1.23342e-06 5.89822e+06 -84449.7 -99622.2 5.9434e+06
170 0.525 0.425 2.79222e-05 -8.93355e-06 -2.66125e-06 5.8251e+06 -128516 -214947 5.90216e+06
171 0.575 0.425 2.74173e-05 -9.04701e-06 -4.7761e-06 5.70073e+06 -189652 -385762 5.83626e+06
172 0.625 0.425 2.65979e-05 -9.12875e-06 -7.7783e-06 5.50598e+06 -265244 -628247 5.74723e+06
173 0.675 0.425 2.53288e-05 -9.06686e-06 -1.17708e-05 5.2174e+06 -338822 -950722 5.64052e+06
174 0.725 0.425 2.3388e-05 -8.58258e-06 -1.65447e-05 4.80305e+06 -361426 -1.3363e+06 5.50391e+06
175 0.775 0.425 2.03537e-05 -7.10459e-06 -2.11809e-05 4.20514e+06 -230420 -1.71077e+06 5.24266e+06
176 0.825 0.425 1.54708e-05 -3.69668e-06 -2.34494e-05 3.31426e+06 217976 -1.89399e+06 4.59031e+06
